ID,KOR,ENG
M000,머쉬베,Mushbae
M001,머쉬브로,Mushbro
M002,시드풋,Seed-foot
M003,플라워퐁,Flower-pong
M004,미니웹,Mini-web
M005,스파이크더,Spikeder
M006,할로윈벳,Halloween-bat
M007,블러디벳,Bloody-bat
M008,베이,Bay
M009,거스,Gus
M010,라스,Wrath
M011,피카베,Peekabae
M012,피카부,Peekaboo
M013,프라이드,Pride
M014,피어,Fear
M015,앤비,Envy
M016,악몽,Nightmare
RNDEVT1_NAME,강한 바람,
RNDEVT2_NAME,숲 속 샘,
RNDEVT3_NAME,물이 담겨 있는 식물,
RNDEVT4_NAME,잃어버린 가방,
RNDEVT5_NAME,선홍빛 과일,
RNDEVT6_NAME,몬스터의 소리,
RNDEVT7_NAME,어두운 길,
RNDEVT8_NAME,푸른 색 과일,
RNDEVT9_NAME,잠겨있는 상자,
RNDEVT10_NAME,빠른 돌진,
RNDEVT11_NAME,쉬고있는 새,
RNDEVT12_NAME,붉은 빛의 버섯,
RNDEVT13_NAME,가시 박힌 상자,
RNDEVT14_NAME,나무에 걸린 쪽지,
RNDEVT15_NAME,빛에 반응하는 쪽지,
RNDEVT16_NAME,가시나무 속 쪽지,
RNDEVT17_NAME,신비한 약초,
RNDEVT18_NAME,벌꿀,
RNDEVT19_NAME,푸른 빛 버섯 ,
RNDEVT20_NAME,마른 하늘의 비,
RNDEVT21_NAME,야생 동물,
RNDEVT22_NAME,함정,
RNDEVT23_NAME,도둑맞다,
RNDEVT24_NAME,뽀족 바위,
RNDEVT25_NAME,흐르는 물,
RNDEVT26_NAME,숨다,
RNDEVT27_NAME,작은 친구,
RNDEVT28_NAME,작은 친구의 선물,
RNDEVT29_NAME,네잎 클로버,
RNDEVT30_NAME,기분 좋은 발걸음,
RNDEVT1_DESC,"강한 바람이 불어오는 소리가 들려 바람이 불어오는 방향을 바라보니
쪽지가 바람에 날려 가는 것이 보인다. 지금 날리고 있는 높이로는 뛰어서 쫓아간다면
충분히 손으로 잡을 수 있을 것 같다.
뛰어가서 잡아볼까?'",
RNDEVT2_DESC,"물이 흐르는 소리를 따라 걷다보니 물이 흐르고 있는 샘을 발견했다.
약초학자도 많이 피곤해 보인다.샘 주변에서 다른 소리는 안들리니 잠시 쉬어가도 괜찮겠지?",
RNDEVT3_DESC,"길을 거닐다. 앞에 주머니처럼 생긴 식물을 발견했다.
약초 학자가 책을 찾아보니 주머니 안에 있는 물은 마실 수 있는 물이라고 말한다.
마침 물을 마시고 싶었는데 마셔볼까?",
RNDEVT4_DESC,"앞에 나무에 찢어져 내용물이 새어 나온 가방이 걸려있다. 마을 약초꾼들이 약초를 캘 때 사용하는 가방인데 
깊은 숲까지 와서 약초를 캐다 무언가를 보고 급하게 도망치면서 챙기지 못한 가방인 듯하다.
가방의 안쪽에 사용할 수 있는 물건이 있는지 확인해 볼까?",
RNDEVT5_DESC,"달콤한 향기에 이끌려 걸어간 곳에는 선홍빛 과일이 있었다.
평소에 사냥이 끝나고 사냥의 지친 몸을 회복하기 위해 먹던 과일인거 같아 먹을려고 했으나
약초학자가 잘 모르는 음식은 먹으면 안 된다고 말린다. 약초학자를 설득해서 과일을 먹을까?",
RNDEVT6_DESC,"뒷쪽에서 몬스터들이 다가오는 듯한 소리가 들려온다.
소리로는 다수의 몬스터가 함께 다가오고 있는 것 같으니 잠시 숨어서 몬스터가 지나가는 것을 기다려야 할 것 같다.
주변에 몸을 숨길 수 있는 곳은 풀 숲을 더 크게 꾸며 숨거나
옆에 있는 큰 나무 뒤에 잠깐 숨어서 기다릴 수 있을 것 같다.
어느 쪽에 숨어야 할까?",
RNDEVT7_DESC,"숲 깊은 곳까지 들어오니 빛이 잘 안 들어 많이 어둡다.
가시 나무가 크게 자라나 있어
랜턴 빛을 밝게 비춰 길을 잘 보며 걸어가야 할 것 같은데 랜턴 빛을 더 강하게 할까?",
RNDEVT8_DESC,"풀숲에서 풍겨오는 새콤한 향기에 잠시 길을 멈추고 풀숲을 헤쳐보니 푸른색의 과일이 있었다.
예전에 사냥을 나서기 전에 쉽게 지치지 않기 위해서 먹었던 푸른색 과일이랑 비슷하게 생겼지만
비슷하게 생긴 독이 있는 과일 일 수 있다. 어떻게 할까?",
RNDEVT9_DESC,"길 위에 잠겨있는 작은 상자가 있다.
상자를 흔들어보니 안쪽에는 물건이 있는 거 같은데 조금 힘을 주면 열어서 안에 있는 물건을 챙겨갈 수 있을 거 같은데 약초 학자는 마녀의 함정일 수 도 있으니 지나가자고 한다.
어떻할까?",
